City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
272,Fare,PF,82.35,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
275,Lazaro Cardenas,MX,75.45,clear sky,17.9583,-102.2,Hotel Quinta Antigua
297,Acarau,BR,76.6,overcast clouds,-2.8856,-40.12,castelo pizzaria
298,Nishihara,JP,77.0,broken clouds,26.1842,127.7558,Minshuku Agaihama
304,Boa Vista,BR,82.4,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
306,Denpasar,ID,82.4,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
308,Banda Aceh,ID,80.96,broken clouds,5.5577,95.3222,Sulthan Hotel International
311,Kot Samaba,PK,80.85,clear sky,28.5522,70.4684,Nadeem Sweet Mart
313,Lhokseumawe,ID,79.57,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
315,Abonnema,NG,78.8,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
333,Cuajinicuilapa,MX,78.12,clear sky,16.4667,-98.4167,Pozo S. XVI
338,Charters Towers,AU,85.77,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
341,Beira,MZ,78.8,light rain,-19.8436,34.8389,Beira Terrace Hotel
344,Iralaya,HN,80.6,few clouds,15.0,-83.2333,Iglesia morava renovada
346,Ailigandi,PA,79.39,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
347,Coruripe,BR,76.14,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
349,Port Macquarie,AU,81.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
353,Mangrol,IN,77.36,broken clouds,21.1167,70.1167,Hotel The Royal Honours
357,Ilheus,BR,80.6,few clouds,-14.7889,-39.0494,Barravento Hotel
358,Kawalu,ID,79.05,few clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
359,Lumajang,ID,81.25,overcast clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
360,Tura,IN,75.18,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
364,Matara,LK,76.91,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
371,Faanui,PF,82.62,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
372,Bombay,IN,82.4,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
375,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
379,Bengkulu,ID,75.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
390,Jaciara,BR,76.5,broken clouds,-15.9653,-54.9683,Taba Hotel
392,Ridgecrest,US,75.2,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
397,Guaruja,BR,84.0,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
402,Sibolga,ID,79.72,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
407,Buala,SB,84.42,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
408,Anloga,GH,80.58,scattered clouds,5.7947,0.8973,Pin Drop Hotel
412,Ilhabela,BR,78.04,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
413,Kralendijk,BQ,78.8,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
418,Vaitape,PF,82.62,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
419,Alyangula,AU,87.24,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
424,Harper,LR,77.59,light rain,4.375,-7.7169,Screensaver
425,Robertsport,LR,79.38,light rain,6.7533,-11.3686,Kwepunha Retreat
427,Pochutla,MX,87.8,clear sky,15.7432,-96.4661,Hotel Posada San Jose
428,Jaynagar-Majilpur,IN,77.0,mist,22.1758,88.4178,Joychaditala Sarbojanin Durgostob
433,Russell,US,80.6,clear sky,32.3502,-85.1999,Macs
439,Kirakira,SB,85.26,broken clouds,-10.4544,161.9205,SanBiz Lodge
442,Conde,BR,78.8,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
444,Bugko,PH,83.86,overcast clouds,12.5356,124.7923,Sangkay Beach Resort
447,Cap Malheureux,MU,77.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
450,Saint-Georges,GD,78.8,scattered clouds,12.0564,-61.7485,Siesta Hotel
454,Caravelas,BR,75.09,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
