City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Alice Springs,AU,2021-03-27 18:17:45,-23.7,133.8833,69.8,73,52,1.14
108,Rocha,UY,2021-03-27 18:18:21,-34.4833,-54.3333,76.48,74,59,2.15
109,Albany,US,2021-03-27 18:21:36,42.6001,-73.9662,57.99,43,29,6.76
110,Atuona,PF,2021-03-27 18:22:41,-9.8,-139.0333,80.33,79,79,20.15
111,Puerto Escondido,MX,2021-03-27 18:18:30,15.85,-97.0667,86.0,84,1,12.66
112,Culebra,PR,2021-03-27 18:22:41,18.303,-65.301,86.0,48,40,16.11
113,Airai,TL,2021-03-27 18:22:42,-8.9266,125.4092,59.88,93,100,2.28
114,Trenggalek,ID,2021-03-27 18:22:42,-8.05,111.7167,75.51,94,100,2.24
115,Taoudenni,ML,2021-03-27 18:22:43,22.6783,-3.9836,91.67,5,3,10.36
116,Bluff,NZ,2021-03-27 18:22:43,-46.6,168.3333,55.99,93,84,3.11
117,Srivardhan,IN,2021-03-27 18:22:43,18.0333,73.0167,84.27,41,4,2.46
118,Solnechnyy,RU,2021-03-27 18:22:43,50.7214,136.6319,25.07,95,95,2.19
119,Port Hawkesbury,CA,2021-03-27 18:22:44,45.6169,-61.3485,36.0,80,90,10.36
120,Qaqortoq,GL,2021-03-27 18:22:44,60.7167,-46.0333,8.6,40,75,6.91
121,Kodiak,US,2021-03-27 18:22:44,57.79,-152.4072,32.0,43,1,18.41
122,Severo-Kurilsk,RU,2021-03-27 18:22:04,50.6789,156.125,25.79,86,100,35.79
123,Sangar,RU,2021-03-27 18:18:25,63.9242,127.4739,13.82,96,100,4.32
124,Chokurdakh,RU,2021-03-27 18:22:45,70.6333,147.9167,-5.35,89,99,5.21
125,Ponta Do Sol,PT,2021-03-27 18:22:45,32.6667,-17.1,59.0,62,100,5.01
126,Faanui,PF,2021-03-27 18:22:46,-16.4833,-151.75,82.56,73,52,21.34
127,San Patricio,US,2021-03-27 18:22:46,28.017,-97.5169,84.0,69,75,16.11
128,Rawson,AR,2021-03-27 18:22:46,-43.3002,-65.1023,79.39,17,52,18.03
129,Kungurtug,RU,2021-03-27 18:22:47,50.5994,97.5228,10.62,91,7,2.37
130,Omboue,GA,2021-03-27 18:22:47,-1.5746,9.2618,79.25,86,89,7.14
131,Aksarka,RU,2021-03-27 18:22:47,66.5606,67.7975,-6.97,99,20,4.25
132,Foca,TR,2021-03-27 18:22:47,38.6703,26.7566,50.0,62,0,5.75
133,Maarianhamina,AX,2021-03-27 18:19:28,60.0973,19.9348,41.0,81,0,12.66
134,Zaria,NG,2021-03-27 18:22:48,11.1113,7.7227,82.09,12,1,10.27
135,San Miguel,SV,2021-03-27 18:22:48,13.4833,-88.1833,98.6,32,0,2.3
136,Lata,PT,2021-03-27 18:20:46,40.1629,-8.3327,61.0,75,95,5.99
137,Najran,SA,2021-03-27 18:22:49,17.4924,44.1277,80.6,12,0,4.61
138,Joshimath,IN,2021-03-27 18:22:49,30.5667,79.5667,52.45,39,9,7.76
139,Palmerston,AU,2021-03-27 18:22:49,-12.486,130.9833,77.0,88,75,2.3
140,Guangyuan,CN,2021-03-27 18:22:49,32.442,105.823,61.0,89,3,3.27
141,Kenai,US,2021-03-27 18:22:50,60.5544,-151.2583,24.8,58,90,4.61
142,Ternate,ID,2021-03-27 18:22:50,0.8,127.4,80.8,83,100,13.98
143,Knysna,ZA,2021-03-27 18:22:50,-34.0363,23.0471,60.8,77,40,2.3
144,Saint-Joseph,RE,2021-03-27 18:22:51,-21.3667,55.6167,77.0,94,0,3.44
145,East London,ZA,2021-03-27 18:22:51,-33.0153,27.9116,66.2,68,0,13.8
146,Waipawa,NZ,2021-03-27 18:21:55,-41.4122,175.5153,64.4,63,75,18.41
147,Ancud,CL,2021-03-27 18:22:51,-41.8697,-73.8203,64.4,63,0,5.75
148,Beira,MZ,2021-03-27 18:22:51,-19.8436,34.8389,80.6,94,20,6.91
