City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Alpena,US,2021-03-28 01:00:15,45.0617,-83.4327,34.0,80,90,9.22,overcast clouds
180,Talnakh,RU,2021-03-28 01:00:16,69.4865,88.3972,-1.01,99,88,0.89,overcast clouds
181,Deniliquin,AU,2021-03-28 01:00:16,-35.5333,144.9667,68.0,49,100,7.07,overcast clouds
182,Puerto Ayora,EC,2021-03-28 01:00:16,-0.7393,-90.3518,79.0,89,99,4.0,overcast clouds
183,Ereymentau,KZ,2021-03-28 01:00:16,51.6199,73.1033,31.17,96,100,10.13,overcast clouds
184,Ketchikan,US,2021-03-28 01:00:17,55.3422,-131.6461,44.6,93,90,6.91,light rain
185,Velez-Malaga,ES,2021-03-28 01:00:17,36.7726,-4.1005,61.0,65,8,4.09,clear sky
186,Rocha,UY,2021-03-28 01:00:17,-34.4833,-54.3333,65.64,89,100,3.83,overcast clouds
187,Northam,GB,2021-03-28 01:00:17,51.0333,-4.2167,51.01,82,100,21.0,overcast clouds
188,Ures,MX,2021-03-28 01:00:17,29.4333,-110.4,80.01,16,0,8.01,clear sky
189,College,US,2021-03-28 01:00:18,64.8569,-147.8028,26.6,54,90,11.5,overcast clouds
190,Kabo,CF,2021-03-28 01:00:18,7.6994,18.629,78.03,60,54,2.95,broken clouds
191,Quime,BO,2021-03-28 01:00:18,-16.9833,-67.2167,50.09,95,100,4.94,overcast clouds
192,Bad Lauterberg,DE,2021-03-28 01:00:18,51.6327,10.4703,33.01,97,100,3.74,overcast clouds
193,Dali,CN,2021-03-28 01:00:19,25.7,100.1833,58.12,29,1,2.95,clear sky
194,Palafrugell,ES,2021-03-28 00:59:06,41.9174,3.1631,46.99,93,0,4.32,clear sky
195,Mehriz,IR,2021-03-28 01:00:19,31.5917,54.4318,68.0,19,41,2.3,dust
196,Fredericksburg,US,2021-03-28 00:59:36,38.3032,-77.4605,62.6,63,1,5.75,clear sky
197,Viseu,PT,2021-03-28 01:00:19,40.661,-7.9097,48.99,88,7,5.64,clear sky
198,Georgetown,MY,2021-03-28 01:00:19,5.4112,100.3354,82.4,94,20,2.3,few clouds
199,Ayr,GB,2021-03-28 01:00:20,55.4627,-4.6339,50.0,81,90,26.46,overcast clouds
200,Barrow,US,2021-03-28 01:00:20,71.2906,-156.7887,-11.2,70,1,5.75,clear sky
201,Puerto Escondido,MX,2021-03-28 01:00:20,15.85,-97.0667,84.2,79,1,3.44,clear sky
202,Tayu,ID,2021-03-28 01:00:20,-6.5397,111.0518,81.52,81,34,3.11,scattered clouds
203,Broken Hill,AU,2021-03-28 01:00:21,-31.95,141.4333,64.4,52,6,12.66,clear sky
204,Rawson,AR,2021-03-28 01:00:21,-43.3002,-65.1023,67.66,29,98,19.75,overcast clouds
205,Nemuro,JP,2021-03-28 00:56:48,43.3236,145.575,42.8,65,75,16.11,broken clouds
206,San Pedro,PH,2021-03-28 01:00:21,14.35,121.0167,87.01,62,20,3.44,few clouds
207,Saint-Joseph,RE,2021-03-28 01:00:21,-21.3667,55.6167,75.2,83,20,5.75,few clouds
208,Valle De Allende,MX,2021-03-28 01:00:22,26.9333,-105.4,71.82,6,63,19.08,broken clouds
209,East London,ZA,2021-03-28 01:00:22,-33.0153,27.9116,64.42,70,38,11.63,scattered clouds
210,Provideniya,RU,2021-03-28 01:00:22,64.3833,-173.3,4.21,90,100,5.5,overcast clouds
211,Kruisfontein,ZA,2021-03-28 01:00:22,-34.0033,24.7314,57.99,80,20,5.82,few clouds
212,Gushikawa,JP,2021-03-28 01:00:23,26.3544,127.8686,77.0,83,75,17.27,broken clouds
213,Navrongo,GH,2021-03-28 01:00:23,10.8956,-1.0921,86.05,41,19,5.32,few clouds
214,Vestmannaeyjar,IS,2021-03-28 01:00:23,63.4427,-20.2734,37.87,60,100,23.42,overcast clouds
215,Durban,ZA,2021-03-28 00:59:14,-29.8579,31.0292,69.01,68,20,12.66,few clouds
216,Presidente Medici,BR,2021-03-28 01:00:23,-11.1753,-61.9014,72.79,94,65,3.44,broken clouds
217,Owando,CG,2021-03-28 01:00:24,-0.4819,15.8999,71.82,88,64,1.36,broken clouds
218,Port Lincoln,AU,2021-03-28 00:56:44,-34.7333,135.8667,65.8,58,0,3.2,clear sky
219,Bundaberg,AU,2021-03-28 01:00:24,-24.85,152.35,80.6,54,41,2.3,scattered clouds
220,Havelock,US,2021-03-28 00:56:57,34.8791,-76.9013,66.99,94,75,2.95,broken clouds
221,Tocopilla,CL,2021-03-28 01:00:24,-22.092,-70.1979,67.68,74,12,4.25,few clouds
222,Sinjar,IQ,2021-03-28 01:00:24,36.3209,41.8754,41.34,51,0,5.5,clear sky
223,Maldonado,UY,2021-03-28 00:55:26,-34.6667,-54.9167,69.01,100,90,2.3,overcast clouds
224,Oktyabrskoye,RU,2021-03-28 01:00:25,43.0645,44.7417,41.0,70,100,4.47,overcast clouds
225,Freeport,US,2021-03-28 01:00:25,40.6576,-73.5832,55.0,62,1,6.91,clear sky
226,Guarapari,BR,2021-03-28 01:00:25,-20.6667,-40.4975,78.8,78,0,3.44,clear sky
227,Dover,US,2021-03-28 00:58:49,39.1582,-75.5244,62.01,59,90,6.91,overcast clouds
228,Ostrovnoy,RU,2021-03-28 01:00:25,68.0531,39.5131,30.79,89,87,23.04,overcast clouds
229,Grand Gaube,MU,2021-03-28 01:00:26,-20.0064,57.6608,77.0,84,98,4.88,overcast clouds
230,Namatanai,PG,2021-03-28 01:00:26,-3.6667,152.4333,84.76,70,98,9.28,light rain
231,Colonia,DE,2021-03-28 00:58:58,50.9333,6.95,45.0,81,0,4.61,clear sky
232,U Thong,TH,2021-03-28 01:00:26,14.3751,99.8923,89.01,61,100,8.63,overcast clouds
233,Kaitangata,NZ,2021-03-28 01:00:26,-46.2817,169.8464,64.99,77,100,8.99,overcast clouds
234,Sao Filipe,CV,2021-03-28 01:00:27,14.8961,-24.4956,69.64,75,0,13.96,clear sky
235,Eha Amufu,NG,2021-03-28 01:00:27,6.6592,7.7596,79.11,55,88,4.72,overcast clouds
